"gene_symbol" "cumFraction" "rank" "indicator"
"ENSMUSG00000006021" 0.498392502907176 7286 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000040247" 0.500855051645119 7322 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039230" 0.501881113619263 7337 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039196" 0.501949517750872 7338 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000044252" 0.503522812777892 7361 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000019841" 0.509542376359532 7449 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000041840" 0.512073329229085 7486 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022707" 0.517956084547507 7572 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000018921" 0.525275326629728 7679 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000054387" 0.526232984472262 7693 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000047248" 0.527395854709624 7710 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000078908" 0.533689034817703 7802 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000059479" 0.537314453793009 7855 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000042185" 0.539708598399343 7890 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000069939" 0.542171147137287 7926 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024776" 0.550721663588481 8051 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000044339" 0.553184212326424 8087 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031283" 0.555646761064368 8123 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000056290" 0.560708666803475 8197 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022685" 0.561871537040837 8214 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020629" 0.562487174225323 8223 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031539" 0.56289759901498 8229 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034471" 0.565428551884534 8266 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000091996" 0.567275463437992 8293 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000036875" 0.568438333675354 8310 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027550" 0.571448115466174 8354 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022096" 0.575962788152404 8420 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000070047" 0.591216909501334 8643 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000018733" 0.591627334290991 8649 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000032192" 0.593132225186401 8671 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000070469" 0.59477392434503 8695 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000038291" 0.599493809426089 8764 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000033808" 0.60236678295369 8806 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000056870" 0.605650181270949 8854 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031377" 0.61002804569396 8918 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039210" 0.61303782748478 8962 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000068206" 0.619878240645735 9062 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000044338" 0.62063068609344 9073 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000074358" 0.626445037280252 9158 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000035713" 0.628428757096929 9187 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024294" 0.63574799917915 9294 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000038534" 0.636910869416513 9311 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031755" 0.63889458923319 9340 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000028607" 0.640125863602162 9358 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000024998" 0.642041179287229 9386 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000041477" 0.642314795813667 9390 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000008226" 0.645940214788973 9443 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000044921" 0.646145427183802 9446 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000040749" 0.646966276763116 9458 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000002109" 0.648881592448184 9486 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000026792" 0.653122648607976 9548 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000035933" 0.660920719611464 9662 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030254" 0.665435392297695 9728 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000034413" 0.666461454271838 9743 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000052364" 0.684656953279978 10009 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000030322" 0.686982693754703 10043 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000037020" 0.693412682126 10137 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000031125" 0.694849168889801 10158 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000047751" 0.696696080443259 10185 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000061086" 0.696969696969697 10189 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000051098" 0.698269375470278 10208 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000050248" 0.698611396128326 10213 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000022309" 0.699363841576031 10224 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000075470" 0.702100006840413 10264 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000041079" 0.706409467131815 10327 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000059639" 0.707503933237567 10343 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000026117" 0.711060948081264 10395 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000039683" 0.713591900950817 10432 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000018168" 0.715302004241056 10457 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000027784" 0.717080511662904 10483 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000037946" 0.717422532320952 10488 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000036214" 0.717901361242219 10495 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000020599" 0.727135919009508 10630 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000036139" 0.730350913195157 10677 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000055692" 0.730419317326766 10678 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000074071" 0.738080580067036 10790 "10x 3' v2_limb muscle_macrophage"
"ENSMUSG00000032584" 0.742595252753266 10856 "10x 3' v2_limb muscle_macrophage"
