primary_key,parameter,intercept,mean_umi
\x47e9978041a852686d262bd054049bd9,sd2,0.0666329364259557,0.00121711595143233
\x47e9978041a852686d262bd054049bd9,p3,0.050809689093859,0
\xd0697aa7bfda400118db3079a14c6f08,p1,0.0325631177006362,-5.83906328168175e-06
\xd0697aa7bfda400118db3079a14c6f08,mean1,0.00149173908834442,1.50146796438721e-05
\xd0697aa7bfda400118db3079a14c6f08,mean2,-0.0316804475564698,0.000623769047051699
\xd0697aa7bfda400118db3079a14c6f08,sd1,0.00475328467112739,3.13108686511406e-05
\xd0697aa7bfda400118db3079a14c6f08,sd2,0.188412805827232,0.00146685346256394
\xd0697aa7bfda400118db3079a14c6f08,p3,0.04961814460286,0
\x5235181550a42f739ddc8a4a7249e393,p1,0.0758927796746124,-4.08096164945225e-06
\x5235181550a42f739ddc8a4a7249e393,mean1,0.00392446582954514,1.56251417508151e-05
\x5235181550a42f739ddc8a4a7249e393,mean2,0.0203578231893942,0.000572363344187743
\x5235181550a42f739ddc8a4a7249e393,sd1,0.0115516650214655,3.52531548874792e-05
\x5235181550a42f739ddc8a4a7249e393,sd2,0.174779307927483,0.0011743472805873
\x5235181550a42f739ddc8a4a7249e393,p3,0.0513233077241582,0
\x6dc1d4975a15b697a704a44c0152dc2f,p1,0.0309131231607337,-4.72103744653944e-06
\x6dc1d4975a15b697a704a44c0152dc2f,mean1,0.00203318599381896,1.41071066405692e-05
\x6dc1d4975a15b697a704a44c0152dc2f,mean2,0.00391174875595546,0.000592053931675048
\x6dc1d4975a15b697a704a44c0152dc2f,sd1,0.00683812094057022,2.9669545457115e-05
\x6dc1d4975a15b697a704a44c0152dc2f,sd2,0.138785867396019,0.00120152318121962
\x6dc1d4975a15b697a704a44c0152dc2f,p3,0.0517383342675117,0
\x6e702759f3be7d92511f8e94b930dfcc,p1,0.081622216833345,-6.68194488103388e-06
\x6e702759f3be7d92511f8e94b930dfcc,mean1,0.00171950440690059,1.51694359222047e-05
\x6e702759f3be7d92511f8e94b930dfcc,mean2,-0.0218806976937778,0.000612323854110844
\x6e702759f3be7d92511f8e94b930dfcc,sd1,0.00401146784559632,3.31840153490874e-05
