"run" "sample" "cell.type" "num.cells" "expressed.genes" "meanUMI" "evaluation" "estimated.counts" "dataset" "threshold" "rsq"
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000233" 1444 2885 1483.72853185596 "own_count10" 1004 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000233" 1444 2023 989.323407202216 "own_count10" 636 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000233" 1444 1048 494.659972299169 "own_count10" 356 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000786" 415 5607 23906.8746987952 "own_count10" 2795 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000786" 415 4772 17930.2771084337 "own_count10" 2213 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000786" 415 3633 11953.686746988 "own_count10" 1533 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000786" 415 2071 5976.85301204819 "own_count10" 781 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000236" 510 3377 5206.8 "own_count10" 1223 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000236" 510 2617 3905.22549019608 "own_count10" 848 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000236" 510 1769 2603.63921568627 "own_count10" 496 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000236" 510 848 1301.85882352941 "own_count10" 245 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000798" 216 1309 4080.4537037037 "own_count10" 352 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000798" 216 952 3060.47685185185 "own_count10" 273 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000798" 216 599 2040.48611111111 "own_count10" 215 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000798" 216 304 1020.25462962963 "own_count10" 148 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000980" 1239 8440 12535.7215496368 "own_count10" 4635 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000980" 1239 7709 9401.9192897498 "own_count10" 3904 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000980" 1239 6544 6268.12671509282 "own_count10" 3024 "Training data set" "Training data set - Count > 10" 0.928370254361329
